iter	Passed	Remaining
703	3934	40772
704	3938	40756
705	3943	40741
706	3949	40740
707	3954	40725
708	3960	40730
709	3966	40722
710	3971	40712
711	3976	40699
712	3981	40691
713	3986	40677
714	3991	40664
715	3996	40654
716	4001	40642
717	4006	40629
718	4010	40616
719	4016	40608
720	4021	40596
721	4026	40584
722	4031	40574
723	4036	40561
724	4040	40546
725	4046	40540
726	4051	40528
727	4055	40514
728	4061	40505
729	4066	40493
730	4070	40479
731	4075	40467
732	4081	40459
733	4085	40445
734	4090	40433
735	4096	40427
736	4100	40413
737	4105	40399
738	4112	40402
739	4117	40391
740	4122	40381
741	4127	40374
742	4132	40362
743	4137	40349
744	4142	40338
745	4147	40329
746	4152	40316
747	4157	40304
748	4162	40295
749	4167	40283
750	4172	40270
751	4177	40262
752	4182	40251
753	4187	40237
754	4192	40227
755	4197	40216
756	4202	40207
757	4207	40200
758	4212	40192
759	4218	40183
760	4223	40175
761	4228	40163
762	4233	40150
763	4237	40136
764	4242	40126
765	4247	40114
766	4252	40101
767	4257	40089
768	4262	40076
769	4266	40064
770	4271	40051
771	4276	40040
772	4281	40028
773	4286	40014
774	4291	40003
775	4296	39994
776	4300	39979
777	4305	39969
778	4310	39958
779	4315	39944
780	4319	39928
781	4324	39919
782	4329	39905
783	4334	39891
784	4340	39891
785	4345	39881
786	4350	39869
787	4354	39857
788	4359	39843
789	4364	39832
790	4369	39819
791	4375	39820
792	4380	39811
793	4385	39800
794	4390	39789
795	4395	39777
796	4399	39764
797	4406	39768
798	4411	39760
799	4417	39753
800	4422	39745
801	4427	39735
802	4432	39725
803	4437	39716
804	4442	39705
805	4447	39692
806	4452	39684
807	4457	39673
808	4461	39660
809	4466	39649
810	4472	39642
811	4477	39632
812	4481	39620
813	4488	39620
814	4492	39609
815	4497	39598
816	4502	39589
817	4507	39578
818	4512	39567
819	4517	39558
820	4522	39547
821	4527	39534
822	4532	39523
823	4537	39512
824	4541	39500
825	4546	39487
826	4552	39485
827	4558	39480
828	4562	39469
829	4568	39464
830	4573	39457
831	4578	39448
832	4584	39442
833	4589	39436
834	4594	39428
835	4599	39418
836	4604	39407
837	4609	39394
838	4614	39383
839	4620	39385
840	4625	39373
841	4630	39365
842	4635	39356
843	4641	39352
844	4647	39349
845	4652	39341
846	4658	39337
847	4665	39351
848	4671	39343
849	4676	39340
850	4682	39336
851	4688	39331
852	4693	39322
853	4698	39313
854	4702	39301
855	4708	39294
856	4714	39290
857	4719	39284
858	4725	39282
